记录时间：2015-11-29 22:53:42,503 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P07_上行丢包率.csv】成功
记录时间：2015-11-29 22:53:42,518 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P08_下行丢包率.csv】成功
记录时间：2015-11-29 22:53:42,532 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P09_上行信噪比.csv】成功
记录时间：2015-11-29 22:53:42,546 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P13_eNB收发时间差.csv】成功
记录时间：2015-11-29 22:53:42,560 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\汇总.csv】成功
记录时间：2015-11-29 22:53:42,574 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件成功
-----------程序开始运行-----------记录时间：2015-11-29 23:11:52,878 线程ID:[8] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：开始解析...
记录时间：2015-11-29 23:11:52,938 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始连接
记录时间：2015-11-29 23:11:53,946 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]连接成功
记录时间：2015-11-29 23:11:54,148 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 23:11:54,556 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
记录时间：2015-11-29 23:11:54,567 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[195458]下载文件完成
记录时间：2015-11-29 23:11:54,768 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 23:11:55,170 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
